,vectorno,label,model,alpha,type,preprocessor,tokenizer,max_features,stop_words,lowercase,strip_accents,f1dev,aucdev,f1train,auctrain
0,0.0,toxic,multi,{'alpha': 1.0},count,0.0,0.0,,,True,,0.948843305317467,0.8074420469552812,0.9517591454938432,0.8443573346116205
1,0.0,toxic,bern,{'alpha': 1.0},count,0.0,0.0,,,True,,0.8950237164017641,0.8046559247584436,0.8921912414912603,0.834054239713399
2,0.0,severe_toxic,multi,{'alpha': 10.0},count,0.0,0.0,,,True,,0.9901389697927936,0.5359719063717869,0.9902513833708512,0.5668730552677446
3,0.0,severe_toxic,bern,{'alpha': 10.0},count,0.0,0.0,,,True,,0.99028459682117,0.5,0.989883680259724,0.5
4,0.0,obscene,multi,{'alpha': 1.0},count,0.0,0.0,,,True,,0.9678788383123907,0.8004077326891375,0.9680546711747666,0.8391446120818601
5,0.0,obscene,bern,{'alpha': 0.5},count,0.0,0.0,,,True,,0.8720146459182825,0.8279994138166831,0.8683802229536425,0.8598315562276877
6,0.0,threat,multi,{'alpha': 10.0},count,0.0,0.0,,,True,,0.9965881667637514,0.4999165136082819,0.9968969444768302,0.5076335571881808
7,0.0,threat,bern,{'alpha': 2.0},count,0.0,0.0,,,True,,0.9967545976533244,0.5,0.9970673434795476,0.4999775141436037
8,0.0,insult,multi,{'alpha': 1.0},count,0.0,0.0,,,True,,0.9650703170508447,0.7667445981615199,0.9653731289741083,0.8137466991378627
9,0.0,insult,bern,{'alpha': 0.5},count,0.0,0.0,,,True,,0.8822917533494217,0.8162690845712121,0.8788283723307893,0.8558829271027171
10,0.0,identity_hate,multi,{'alpha': 10.0},count,0.0,0.0,,,True,,0.990742281767496,0.5101060112338547,0.9910675049101818,0.5116572333933013
11,0.0,identity_hate,bern,{'alpha': 10.0},count,0.0,0.0,,,True,,0.9908879087958725,0.5,0.9913275875985399,0.5
12,1.0,toxic,multi,{'alpha': 0.5},count,1.0,0.0,,,True,,0.94418324040942,0.8031085119902575,0.9531313058841466,0.8593801579052569
13,1.0,toxic,bern,{'alpha': 1.0},count,1.0,0.0,,,True,,0.9319713738869935,0.7910851881842222,0.933194622566209,0.829917651614148
14,1.0,severe_toxic,multi,{'alpha': 10.0},count,1.0,0.0,,,True,,0.9858117666638928,0.6079982664607616,0.9847268683353811,0.6281374986948105
15,1.0,severe_toxic,bern,{'alpha': 10.0},count,1.0,0.0,,,True,,0.99028459682117,0.5,0.989883680259724,0.5
16,1.0,obscene,multi,{'alpha': 1.0},count,1.0,0.0,,,True,,0.9597861363068986,0.760481918477552,0.959669246567357,0.8036698062693322
17,1.0,obscene,bern,{'alpha': 0.5},count,1.0,0.0,,,True,,0.9191978031122576,0.8303100375827891,0.9153475691237007,0.8702266818107923
18,1.0,threat,multi,{'alpha': 10.0},count,1.0,0.0,,,True,,0.9965881667637514,0.5095005908267721,0.9967175771055488,0.5214782945005851
19,1.0,threat,bern,{'alpha': 10.0},count,1.0,0.0,,,True,,0.9967545976533244,0.5,0.997112185322368,0.5
20,1.0,insult,multi,{'alpha': 2.0},count,1.0,0.0,,,True,,0.9554381293168012,0.6740012814670454,0.9556514174506515,0.7116634236667376
21,1.0,insult,bern,{'alpha': 0.5},count,1.0,0.0,,,True,,0.9258758425563784,0.8133514457379664,0.9226836946091138,0.8620048757724138
22,1.0,identity_hate,multi,{'alpha': 10.0},count,1.0,0.0,,,True,,0.9905966547391196,0.5156878027642684,0.9906818650619266,0.5263263770130452
23,1.0,identity_hate,bern,{'alpha': 10.0},count,1.0,0.0,,,True,,0.9908879087958725,0.5,0.9913275875985399,0.5
24,2.0,toxic,multi,{'alpha': 0.01},tfidf,0.0,0.0,,,True,,0.9470125655321627,0.7615007482865322,0.9749872200747962,0.8877772283163348
25,2.0,toxic,bern,{'alpha': 1.0},tfidf,0.0,0.0,,,True,,0.8950237164017641,0.8046559247584436,0.8921912414912603,0.834054239713399
26,2.0,severe_toxic,multi,{'alpha': 2.0},tfidf,0.0,0.0,,,True,,0.99028459682117,0.5,0.9898657435225958,0.49999093997734995
27,2.0,severe_toxic,bern,{'alpha': 10.0},tfidf,0.0,0.0,,,True,,0.99028459682117,0.5,0.989883680259724,0.5
28,2.0,obscene,multi,{'alpha': 0.1},tfidf,0.0,0.0,,,True,,0.9663601564450361,0.7004087469933629,0.9765118427306888,0.7987068218906139
29,2.0,obscene,bern,{'alpha': 0.5},tfidf,0.0,0.0,,,True,,0.8720146459182825,0.8279994138166831,0.8683802229536425,0.8598315562276877
30,2.0,threat,multi,{'alpha': 2.0},tfidf,0.0,0.0,,,True,,0.9967545976533244,0.5,0.997112185322368,0.5
31,2.0,threat,bern,{'alpha': 2.0},tfidf,0.0,0.0,,,True,,0.9967545976533244,0.5,0.9970673434795476,0.4999775141436037
32,2.0,insult,multi,{'alpha': 0.1},tfidf,0.0,0.0,,,True,,0.9638220853790463,0.6591480056325987,0.9739289525842354,0.7669535800335691
33,2.0,insult,bern,{'alpha': 0.5},tfidf,0.0,0.0,,,True,,0.8822917533494217,0.8162690845712121,0.8788283723307893,0.8558829271027171
34,2.0,identity_hate,multi,{'alpha': 2.0},tfidf,0.0,0.0,,,True,,0.9908879087958725,0.5,0.9913186192299759,0.49999547658681337
35,2.0,identity_hate,bern,{'alpha': 10.0},tfidf,0.0,0.0,,,True,,0.9908879087958725,0.5,0.9913275875985399,0.5
