,label,model,type,preprocessor,tokenizer,max_features,stop_words,lowercase,strip_accents,f1dev,aucdev,f1train,auctrain
0,toxic,multi,count,0.0,0.0,,,True,,0.9457856574039146,0.7969585445460479,0.9521246636210026,0.8437784426064393
1,toxic,bern,count,0.0,0.0,,,True,,0.8854939435852299,0.7990163724489912,0.8859664023316317,0.8334322304556627
2,severe_toxic,multi,count,0.0,0.0,,,True,,0.9877195188398508,0.7026139742019244,0.9874299303550196,0.7537200666720458
3,severe_toxic,bern,count,0.0,0.0,,,True,,0.9897732511840396,0.5009548216568137,0.9891732899430502,0.5026722586401464
4,obscene,multi,count,0.0,0.0,,,True,,0.9679366276876651,0.7992507600519623,0.9680294672471905,0.8337963539307508
5,obscene,bern,count,0.0,0.0,,,True,,0.9624669935873256,0.6649542526518912,0.9665721974377084,0.7214521027045119
6,threat,multi,count,0.0,0.0,,,True,,0.9962068820989983,0.5161883892737146,0.9959321609612617,0.5253438111632449
7,threat,bern,count,0.0,0.0,,,True,,0.9968355756737499,0.5,0.9965937435741553,0.4997579039865144
8,insult,multi,count,0.0,0.0,,,True,,0.9644578565740392,0.7686641616108995,0.9652669128230803,0.8066559071036585
9,insult,bern,count,0.0,0.0,,,True,,0.9610629112703801,0.6239598999671383,0.9633179262067177,0.6716766653925079
10,identity_hate,multi,count,0.0,0.0,,,True,,0.9889978624418458,0.5549669918283794,0.9882703190795061,0.6071650313331486
11,identity_hate,bern,count,0.0,0.0,,,True,,0.990946812523576,0.5010145565030772,0.98968288736109,0.4997608887919451
12,toxic,multi,count,1.0,0.0,,,True,,0.9408818475208517,0.7697756634605413,0.9478422572483528,0.8162852529604993
13,toxic,bern,count,1.0,0.0,,,True,,0.9272391969487405,0.7898527157768211,0.9283881523070459,0.8325626313994895
14,severe_toxic,multi,count,1.0,0.0,,,True,,0.9795674588205708,0.687178361935438,0.9795356405281933,0.7475116251399545
15,severe_toxic,bern,count,1.0,0.0,,,True,,0.9895846431116141,0.5029173895846208,0.9888335583310237,0.5078324989924471
16,obscene,multi,count,1.0,0.0,,,True,,0.9585690934238652,0.7617341498714314,0.9598222667250766,0.7993594343588996
17,obscene,bern,count,1.0,0.0,,,True,,0.9528060689886416,0.6164256007440743,0.9555935021859047,0.6652438419299318
18,threat,multi,count,1.0,0.0,,,True,,0.9933777610126158,0.5708820336654454,0.9912474408375278,0.5733053512130659
19,threat,bern,count,1.0,0.0,,,True,,0.9968355756737499,0.5,0.9967099675466907,0.49981618636013125
20,insult,multi,count,1.0,0.0,,,True,,0.956473448174693,0.7364114119892763,0.958704728527621,0.785251999341352
21,insult,bern,count,1.0,0.0,,,True,,0.9527641560836582,0.5854429132552231,0.9544670236828695,0.6282960306961096
22,identity_hate,multi,count,1.0,0.0,,,True,,0.9825223186219036,0.5827512914053949,0.9804028501694187,0.6272221096982289
23,identity_hate,bern,count,1.0,0.0,,,True,,0.9909677689760678,0.5010251266571901,0.9893520960546431,0.5020967183356799
24,toxic,multi,tfidf,0.0,0.0,,,True,,0.9188147030470681,0.5747723894716262,0.9204223400355824,0.5866869699238021
25,toxic,bern,tfidf,0.0,0.0,,,True,,0.8854939435852299,0.7990163724489912,0.8859664023316317,0.8334322304556627
26,severe_toxic,multi,tfidf,0.0,0.0,,,True,,0.98989898989899,0.4999894150771641,0.9899779174452182,0.4999683941520151
27,severe_toxic,bern,tfidf,0.0,0.0,,,True,,0.9897732511840396,0.5009548216568137,0.9891732899430502,0.5026722586401464
28,obscene,multi,tfidf,0.0,0.0,,,True,,0.9513810302192045,0.5406091585656103,0.952643201344622,0.5543412086763851
29,obscene,bern,tfidf,0.0,0.0,,,True,,0.9624669935873256,0.6649542526518912,0.9665721974377084,0.7214521027045119
30,threat,multi,tfidf,0.0,0.0,,,True,,0.9968565321262417,0.5033112582781457,0.9970496991587172,0.5015111189497315
31,threat,bern,tfidf,0.0,0.0,,,True,,0.9968355756737499,0.5,0.9965937435741553,0.4997579039865144
32,insult,multi,tfidf,0.0,0.0,,,True,,0.9523031141288403,0.513639127187357,0.9528756492896927,0.5263308985118756
33,insult,bern,tfidf,0.0,0.0,,,True,,0.9610629112703801,0.6239598999671383,0.9633179262067177,0.6716766653925079
34,identity_hate,multi,tfidf,0.0,0.0,,,True,,0.9912821157634436,0.4999894298458872,0.9910954556426739,0.5004734800081309
